victim,mix,attackers,baseline_cycles_med,bg_cycles_med,slowdown_med,baseline_cycles_avg,bg_cycles_avg,slowdown_avg
bitcount,MIX_CACHEBUS,"PR_CACHE MTH_BUS PR_MEMBUS",30413.00,30321.50,0.997,33637.70,33441.80,0.994
bitcount,MIX_TLBMEM,"PR_TLB MTH_MEM PR_ROWBUF",30413.00,30837.00,1.014,33637.70,45154.10,1.342
bitcount,MIX_KERNEL,"PR_NET PR_FILESYS PR_SPAWN",30413.00,35849.50,1.179,33637.70,37790.50,1.123
bitcount,MIX_IO,"PR_DISKIO PR_FILESYS MTH_SYSCALLS",30413.00,33169.00,1.091,33637.70,35204.60,1.047
bitcount,MIX_HARSH,"PR_ROWBUF MTH_BUS PR_MEMBUS",30413.00,30670.50,1.008,33637.70,33258.80,0.989
bitcount,MIX_BROAD,"PR_CACHE PR_MEMBUS PR_TLB",30413.00,30769.00,1.012,33637.70,36280.20,1.079
bitonic,TIM_CACHE3,"CACHE CACHE CACHE",21799.50,22251.50,1.021,22397.00,23134.60,1.033
bitonic,MTH_CACHE3,"MTH_CACHE MTH_CACHE MTH_CACHE",21799.50,22328.50,1.024,22397.00,23459.10,1.047
bitonic,PR_CACHE3,"PR_CACHE PR_CACHE PR_CACHE",21799.50,21786.50,0.999,22397.00,25005.70,1.116
bitonic,ALL_CACHE,"CACHE MTH_CACHE PR_CACHE",21799.50,21929.00,1.006,22397.00,22755.00,1.016
bitonic,ALL_BUS,"BUS MTH_BUS PR_MEMBUS",21799.50,22113.00,1.014,22397.00,22712.40,1.014
bitonic,ALL_MEM,"MEM MTH_MEM PR_ROWBUF",21799.50,22643.00,1.039,22397.00,26003.20,1.161
bitonic,ALL_PTR,"POINTER MTH_POINTER PR_POINTER",21799.50,23506.00,1.078,22397.00,23979.20,1.071
bitonic,ALL_PIPE,"PIPELINE MTH_PIPELINE MTH_PIPELINE",21799.50,21838.50,1.002,22397.00,22520.60,1.006
bitonic,TLB_TRIPLE,"PR_TLB PR_TLB PR_TLB",21799.50,21846.50,1.002,22397.00,22615.60,1.010
bitonic,MIX_CACHEBUS,"PR_CACHE MTH_BUS PR_MEMBUS",21799.50,22194.50,1.018,22397.00,23372.40,1.044
bitonic,MIX_TLBMEM,"PR_TLB MTH_MEM PR_ROWBUF",21799.50,21893.50,1.004,22397.00,24920.20,1.113
bitonic,MIX_KERNEL,"PR_NET PR_FILESYS PR_SPAWN",21799.50,24463.00,1.122,22397.00,24797.90,1.107
bitonic,MIX_IO,"PR_DISKIO PR_FILESYS MTH_SYSCALLS",21799.50,21982.00,1.008,22397.00,22832.70,1.019
bitonic,MIX_HARSH,"PR_ROWBUF MTH_BUS PR_MEMBUS",21799.50,21828.00,1.001,22397.00,22737.00,1.015
