# board=pi5
# config=Mix
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[info] cpu0..cpu3 locked to 2400000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=2400000
# cpu0=minver (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_MEM
[sample=277] cpu=0 bench=minver cycles=1372 instructions=4118 cache-misses=0
[sample=278] cpu=0 bench=minver cycles=21533 instructions=4118 cache-misses=10
[sample=279] cpu=0 bench=minver cycles=4421 instructions=4118 cache-misses=0
[sample=280] cpu=0 bench=minver cycles=1302 instructions=4118 cache-misses=0
[sample=281] cpu=0 bench=minver cycles=1347 instructions=4118 cache-misses=0
[sample=282] cpu=0 bench=minver cycles=1378 instructions=4118 cache-misses=0
[sample=283] cpu=0 bench=minver cycles=1346 instructions=4118 cache-misses=0
[sample=284] cpu=0 bench=minver cycles=1320 instructions=4118 cache-misses=0
[sample=285] cpu=0 bench=minver cycles=1316 instructions=4118 cache-misses=0
[sample=286] cpu=0 bench=minver cycles=1329 instructions=4118 cache-misses=0
[sample=287] cpu=0 bench=minver cycles=1371 instructions=4118 cache-misses=0
[sample=288] cpu=0 bench=minver cycles=1376 instructions=4118 cache-misses=0
[sample=289] cpu=0 bench=minver cycles=1324 instructions=4118 cache-misses=0
[sample=290] cpu=0 bench=minver cycles=1324 instructions=4118 cache-misses=0
[sample=291] cpu=0 bench=minver cycles=2377 instructions=4118 cache-misses=0
[sample=292] cpu=0 bench=minver cycles=1328 instructions=4118 cache-misses=0
[sample=293] cpu=0 bench=minver cycles=1316 instructions=4118 cache-misses=0
[sample=294] cpu=0 bench=minver cycles=2451 instructions=4118 cache-misses=0
[sample=295] cpu=0 bench=minver cycles=1323 instructions=4118 cache-misses=0
[sample=296] cpu=0 bench=minver cycles=1317 instructions=4118 cache-misses=0
[sample=297] cpu=0 bench=minver cycles=1324 instructions=4118 cache-misses=0
[sample=298] cpu=0 bench=minver cycles=1409 instructions=4118 cache-misses=0
[sample=299] cpu=0 bench=minver cycles=1330 instructions=4118 cache-misses=0
[sample=300] cpu=0 bench=minver cycles=1356 instructions=4118 cache-misses=0
[sample=301] cpu=0 bench=minver cycles=3393 instructions=4118 cache-misses=0
[sample=302] cpu=0 bench=minver cycles=3463 instructions=4118 cache-misses=1
[sample=303] cpu=0 bench=minver cycles=2157 instructions=4118 cache-misses=1
[sample=304] cpu=0 bench=minver cycles=1316 instructions=4118 cache-misses=0
[sample=305] cpu=0 bench=minver cycles=1317 instructions=4118 cache-misses=0
[sample=306] cpu=0 bench=minver cycles=1324 instructions=4118 cache-misses=0
[sample=307] cpu=0 bench=minver cycles=1346 instructions=4118 cache-misses=0
[sample=308] cpu=0 bench=minver cycles=1319 instructions=4118 cache-misses=0
[sample=309] cpu=0 bench=minver cycles=1330 instructions=4118 cache-misses=0
[sample=310] cpu=0 bench=minver cycles=1324 instructions=4118 cache-misses=0
[sample=311] cpu=0 bench=minver cycles=1363 instructions=4118 cache-misses=0
[sample=312] cpu=0 bench=minver cycles=1361 instructions=4118 cache-misses=0
[sample=313] cpu=0 bench=minver cycles=1377 instructions=4118 cache-misses=0
[sample=314] cpu=0 bench=minver cycles=1327 instructions=4118 cache-misses=0
[sample=315] cpu=0 bench=minver cycles=1332 instructions=4118 cache-misses=1
[sample=316] cpu=0 bench=minver cycles=1348 instructions=4118 cache-misses=1
[sample=317] cpu=0 bench=minver cycles=1336 instructions=4118 cache-misses=1
[sample=318] cpu=0 bench=minver cycles=1316 instructions=4118 cache-misses=1
[sample=319] cpu=0 bench=minver cycles=5968 instructions=4118 cache-misses=3
[sample=320] cpu=0 bench=minver cycles=1329 instructions=4118 cache-misses=1
[sample=321] cpu=0 bench=minver cycles=1376 instructions=4118 cache-misses=1
[sample=322] cpu=0 bench=minver cycles=1318 instructions=4118 cache-misses=1
[sample=323] cpu=0 bench=minver cycles=1376 instructions=4118 cache-misses=0
[sample=324] cpu=0 bench=minver cycles=1339 instructions=4118 cache-misses=0
[sample=325] cpu=0 bench=minver cycles=1361 instructions=4118 cache-misses=0
[sample=326] cpu=0 bench=minver cycles=1329 instructions=4118 cache-misses=0
[sample=327] cpu=0 bench=minver cycles=1368 instructions=4118 cache-misses=0
[sample=328] cpu=0 bench=minver cycles=1365 instructions=4118 cache-misses=0
[sample=329] cpu=0 bench=minver cycles=1322 instructions=4118 cache-misses=0
[sample=330] cpu=0 bench=minver cycles=1325 instructions=4118 cache-misses=0
[sample=331] cpu=0 bench=minver cycles=1388 instructions=4118 cache-misses=0
[sample=332] cpu=0 bench=minver cycles=1358 instructions=4118 cache-misses=0
[sample=333] cpu=0 bench=minver cycles=1322 instructions=4118 cache-misses=0
[sample=334] cpu=0 bench=minver cycles=1319 instructions=4118 cache-misses=0
[sample=335] cpu=0 bench=minver cycles=11960 instructions=4118 cache-misses=6
[sample=336] cpu=0 bench=minver cycles=1331 instructions=4118 cache-misses=0
[sample=337] cpu=0 bench=minver cycles=1328 instructions=4118 cache-misses=0
[sample=338] cpu=0 bench=minver cycles=1330 instructions=4118 cache-misses=0
[sample=339] cpu=0 bench=minver cycles=1441 instructions=4118 cache-misses=1
