sample,checkpoint_ns,predicate_ns,signal_ns,yield_ns,budget_update_ns,total_ns
500,125,375,5375,1625,1500,9000
501,125,375,5375,1625,1625,9125
502,125,375,5375,1625,1500,9000
503,125,375,5250,1625,1500,8875
504,125,375,5375,1625,1500,9000
505,125,375,5375,1750,1625,9250
506,125,375,5250,1625,1500,8875
507,125,375,5375,1625,1500,9000
508,125,375,5375,1625,1500,9000
509,125,375,5250,1625,1500,8875
510,125,375,5375,1625,1500,9000
511,125,375,5250,1625,1500,8875
512,125,375,5375,1750,1625,9250
513,125,375,5375,1750,1500,9125
514,125,375,5375,1625,1500,9000
515,125,375,5375,1625,1625,9125
516,125,375,5375,1750,1500,9125
517,125,500,5875,1875,1625,10000
518,125,375,5625,1750,1500,9375
519,125,500,5500,1750,1500,9375
520,125,500,5375,1750,1500,9250
521,125,375,5375,1750,1500,9125
522,125,375,5375,1750,1500,9125
523,125,375,5375,1625,1500,9000
524,125,375,5250,1625,1500,8875
525,125,375,5250,1625,1500,8875
526,125,500,5375,1750,1500,9250
527,0,375,5375,1625,1500,8875
528,125,375,5375,1750,1500,9125
529,0,375,5250,1625,1500,8750
530,125,375,5375,1625,1625,9125
531,125,375,5375,1625,1500,9000
532,125,500,5250,1625,1500,9000
533,125,375,5250,1625,1625,9000
534,125,375,5250,1750,1625,9125
535,0,375,5375,1625,1500,8875
536,125,375,5250,1625,1500,8875
537,125,375,5250,1750,1625,9125
538,125,375,5375,1625,1625,9125
539,0,375,5500,1750,1500,9125
540,125,375,5375,1625,1625,9125
541,125,375,5250,1625,1500,8875
542,125,375,5375,1625,1500,9000
543,125,500,5500,1750,1500,9375
544,125,375,5375,1625,1500,9000
545,125,375,5375,1750,1500,9125
546,125,375,5375,1625,1500,9000
547,0,375,5250,1625,1500,8750
548,125,375,5250,1625,1500,8875
549,125,375,5500,1750,1500,9250
550,125,375,5250,1625,1500,8875
551,0,375,5375,1750,1625,9125
552,125,375,5375,1750,1500,9125
553,125,375,5375,1625,1500,9000
554,125,375,5375,1750,1500,9125
555,125,500,5375,1750,1500,9250
556,125,375,5500,1750,1500,9250
557,125,375,5375,1750,1500,9125
558,125,375,5500,1625,1500,9125
559,125,375,5375,1625,1500,9000
560,0,375,5375,1625,1500,8875
561,125,500,5375,1750,1500,9250
562,125,375,5375,1750,1500,9125
563,125,375,5375,1750,1500,9125
564,125,500,5375,1625,1500,9125
565,125,375,5375,1750,1500,9125
566,125,375,5375,1625,1500,9000
567,125,375,5375,1625,1500,9000
568,125,375,5250,1625,1625,9000
569,125,375,5375,1625,1500,9000
570,0,375,5375,1750,1625,9125
571,125,375,5375,1625,1500,9000
572,125,375,5375,1625,1500,9000
573,125,375,5375,1750,1500,9125
574,125,375,5250,1750,1500,9000
575,125,500,5375,1750,1625,9375
576,0,375,5500,1750,1625,9250
577,125,375,5250,1625,1500,8875
578,125,375,5375,1750,1500,9125
579,125,375,5250,1625,1500,8875
580,125,375,5375,1625,1500,9000
581,125,375,5375,1625,1500,9000
582,125,375,5375,1625,1500,9000
583,125,375,5500,1625,1500,9125
584,125,375,5375,1625,1500,9000
585,125,375,5375,1750,1500,9125
586,125,375,5250,1625,1500,8875
587,125,375,5500,1750,1500,9250
588,125,375,5250,1625,1500,8875
589,0,375,5375,1625,1500,8875
590,125,375,5375,1625,1500,9000
591,125,375,5375,1625,1500,9000
592,0,375,5375,1625,1500,8875
593,125,375,5250,1625,1500,8875
594,125,375,5250,1625,1500,8875
595,125,500,5375,1750,1500,9250
596,125,500,5375,1625,1500,9125
597,125,375,5250,1625,1625,9000
598,125,375,5375,1750,1625,9250
599,125,375,5375,1625,1500,9000
600,125,375,5375,1625,1500,9000
601,125,500,5375,1750,1500,9250
602,125,375,5375,1625,1500,9000
603,125,375,5250,1625,1500,8875
604,0,375,5375,1750,1500,9000
605,125,500,5375,1750,1625,9375
606,125,375,5250,1625,1500,8875
