[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=CACHE  cpu2=CACHE  cpu3=MEM  cpu4=MEM
sched_setaffinity: Invalid argument
[sample=90] cpu=0 bench=adpcm_dec cycles=315894 instructions=228468 cache-misses=42
[sample=91] cpu=0 bench=adpcm_dec cycles=316733 instructions=228470 cache-misses=44
[sample=92] cpu=0 bench=adpcm_dec cycles=317044 instructions=228470 cache-misses=43
[sample=93] cpu=0 bench=adpcm_dec cycles=317673 instructions=228470 cache-misses=57
[sample=94] cpu=0 bench=adpcm_dec cycles=317306 instructions=228471 cache-misses=51
[sample=95] cpu=0 bench=adpcm_dec cycles=316684 instructions=228468 cache-misses=43
[sample=96] cpu=0 bench=adpcm_dec cycles=317873 instructions=228468 cache-misses=55
[sample=97] cpu=0 bench=adpcm_dec cycles=318006 instructions=228467 cache-misses=48
[sample=98] cpu=0 bench=adpcm_dec cycles=317466 instructions=228469 cache-misses=42
[sample=99] cpu=0 bench=adpcm_dec cycles=317952 instructions=228469 cache-misses=49

# Statistics over 100 samples on cpu0 bench=adpcm_dec (background load on cpu1..cpu4)
# event                          min                  max                  avg               median
  cycles                      315894               447527            319929.46            317567.50
  instructions                228467               228479            228469.35            228469.00
  cache-misses                    40                   63                47.82                48.00
