victim,mix,attackers,baseline_med,bg_med,slowdown_med,baseline_avg,bg_avg,slowdown_avg
ludcmp,H15_PRC_MTHC_MTHM,"PR_CACHE MTH_CACHE MTH_MEM",10739.50,10810.00,1.007,12874.67,18063.25,1.403
ludcmp,H12_PRC_PRROW_MTHM,"PR_CACHE PR_ROWBUF MTH_MEM",10739.50,11627.00,1.083,12874.67,20022.75,1.555
ludcmp,H9_PTR_PRPTR_MTHPTR,"POINTER PR_POINTER MTH_POINTER",10739.50,12688.50,1.181,12874.67,15681.25,1.218
complex_updates,H14_CACHE_MEM_PRC,"CACHE MEM PR_CACHE",3711.50,3575.00,0.963,4213.58,4881.42,1.158
complex_updates,H20_PTR_PRPTR_PRC,"POINTER PR_POINTER PR_CACHE",3711.50,3577.50,0.964,4213.58,5559.17,1.319
complex_updates,H3_CACHE_PRC_PRC,"CACHE PR_CACHE PR_CACHE",3711.50,3718.00,1.002,4213.58,5795.58,1.375
complex_updates,H19_MEM_MEM_PRROW,"MEM MEM PR_ROWBUF",3711.50,3594.50,0.968,4213.58,7458.17,1.770
complex_updates,H1_CACHE_PRC_MTHC,"CACHE PR_CACHE MTH_CACHE",3711.50,3905.50,1.052,4213.58,6126.75,1.454
complex_updates,H17_PRC_PRC_PRT,"PR_CACHE PR_CACHE PR_TLB",3711.50,3617.00,0.975,4213.58,4485.33,1.064
complex_updates,H18_PRC_PRC_PRMEMBUS,"PR_CACHE PR_CACHE PR_MEMBUS",3711.50,3551.00,0.957,4213.58,4680.67,1.111
complex_updates,H16_CACHE_MEM_BUS,"CACHE MEM BUS",3711.50,3561.00,0.959,4213.58,4197.67,0.996
complex_updates,H8_BUS_PRMEMBUS_PRC,"BUS PR_MEMBUS PR_CACHE",3711.50,4903.50,1.321,4213.58,6086.08,1.444
complex_updates,H11_PRC_PRT_PRMEMBUS,"PR_CACHE PR_TLB PR_MEMBUS",3711.50,3583.00,0.965,4213.58,4859.42,1.153
complex_updates,H4_TUNED_KILLER,"CACHE BUS MEM",3711.50,4079.00,1.099,4213.58,5713.08,1.356
complex_updates,H6_CACHE_PRC_PRT,"CACHE PR_CACHE PR_TLB",3711.50,3574.50,0.963,4213.58,4395.08,1.043
complex_updates,H5_MEM_PRR_MTHM,"MEM PR_ROWBUF MTH_MEM",3711.50,3597.00,0.969,4213.58,4394.67,1.043
complex_updates,H10_PRC_PRT_PRROW,"PR_CACHE PR_TLB PR_ROWBUF",3711.50,3573.50,0.963,4213.58,4222.17,1.002
complex_updates,H7_CACHE_PRC_PRMEMBUS,"CACHE PR_CACHE PR_MEMBUS",3711.50,3625.50,0.977,4213.58,4868.50,1.155
complex_updates,H13_CACHE_BUS_PRC,"CACHE BUS PR_CACHE",3711.50,3577.00,0.964,4213.58,5256.17,1.247
complex_updates,H2_CACHE_CACHE_PRC,"CACHE CACHE PR_CACHE",3711.50,3583.00,0.965,4213.58,4249.83,1.009
complex_updates,H15_PRC_MTHC_MTHM,"PR_CACHE MTH_CACHE MTH_MEM",3711.50,3570.50,0.962,4213.58,6501.67,1.543
complex_updates,H12_PRC_PRROW_MTHM,"PR_CACHE PR_ROWBUF MTH_MEM",3711.50,4033.50,1.087,4213.58,7246.17,1.720
complex_updates,H9_PTR_PRPTR_MTHPTR,"POINTER PR_POINTER MTH_POINTER",3711.50,3549.00,0.956,4213.58,4529.50,1.075
cover,H14_CACHE_MEM_PRC,"CACHE MEM PR_CACHE",5967.50,6814.00,1.142,9734.08,22413.50,2.303
cover,H20_PTR_PRPTR_PRC,"POINTER PR_POINTER PR_CACHE",5967.50,5985.00,1.003,9734.08,9341.42,0.960
cover,H3_CACHE_PRC_PRC,"CACHE PR_CACHE PR_CACHE",5967.50,5993.50,1.004,9734.08,13779.75,1.416
cover,H19_MEM_MEM_PRROW,"MEM MEM PR_ROWBUF",5967.50,7302.50,1.224,9734.08,28846.75,2.963
cover,H1_CACHE_PRC_MTHC,"CACHE PR_CACHE MTH_CACHE",5967.50,6023.50,1.009,9734.08,9739.25,1.001
cover,H17_PRC_PRC_PRT,"PR_CACHE PR_CACHE PR_TLB",5967.50,6079.50,1.019,9734.08,11783.50,1.211
cover,H18_PRC_PRC_PRMEMBUS,"PR_CACHE PR_CACHE PR_MEMBUS",5967.50,5996.00,1.005,9734.08,8169.00,0.839
cover,H16_CACHE_MEM_BUS,"CACHE MEM BUS",5967.50,6114.50,1.025,9734.08,8428.00,0.866
cover,H8_BUS_PRMEMBUS_PRC,"BUS PR_MEMBUS PR_CACHE",5967.50,6085.50,1.020,9734.08,13444.25,1.381
cover,H11_PRC_PRT_PRMEMBUS,"PR_CACHE PR_TLB PR_MEMBUS",5967.50,6452.50,1.081,9734.08,14875.50,1.528
cover,H4_TUNED_KILLER,"CACHE BUS MEM",5967.50,35808.50,6.001,9734.08,46664.00,4.794
cover,H6_CACHE_PRC_PRT,"CACHE PR_CACHE PR_TLB",5967.50,6024.00,1.009,9734.08,12392.75,1.273
cover,H5_MEM_PRR_MTHM,"MEM PR_ROWBUF MTH_MEM",5967.50,8044.00,1.348,9734.08,25262.50,2.595
cover,H10_PRC_PRT_PRROW,"PR_CACHE PR_TLB PR_ROWBUF",5967.50,6966.00,1.167,9734.08,12255.08,1.259
cover,H7_CACHE_PRC_PRMEMBUS,"CACHE PR_CACHE PR_MEMBUS",5967.50,6009.50,1.007,9734.08,7918.50,0.813
cover,H13_CACHE_BUS_PRC,"CACHE BUS PR_CACHE",5967.50,7212.50,1.209,9734.08,17290.25,1.776
cover,H2_CACHE_CACHE_PRC,"CACHE CACHE PR_CACHE",5967.50,5939.00,0.995,9734.08,11635.42,1.195
cover,H15_PRC_MTHC_MTHM,"PR_CACHE MTH_CACHE MTH_MEM",5967.50,7562.50,1.267,9734.08,19206.25,1.973
cover,H12_PRC_PRROW_MTHM,"PR_CACHE PR_ROWBUF MTH_MEM",5967.50,5991.50,1.004,9734.08,15241.08,1.566
cover,H9_PTR_PRPTR_MTHPTR,"POINTER PR_POINTER MTH_POINTER",5967.50,6050.00,1.014,9734.08,8030.17,0.825
