[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM  cpu4=BUS
sched_setaffinity: Invalid argument
[sample=72] cpu=0 bench=binarysearch cycles=4323 instructions=1258 cache-misses=9
[sample=73] cpu=0 bench=binarysearch cycles=3042 instructions=1258 cache-misses=6
[sample=74] cpu=0 bench=binarysearch cycles=3944 instructions=1258 cache-misses=6
[sample=75] cpu=0 bench=binarysearch cycles=3028 instructions=1257 cache-misses=4
[sample=76] cpu=0 bench=binarysearch cycles=4620 instructions=1257 cache-misses=8
[sample=77] cpu=0 bench=binarysearch cycles=17360 instructions=1257 cache-misses=5
[sample=78] cpu=0 bench=binarysearch cycles=7040 instructions=1257 cache-misses=6
[sample=79] cpu=0 bench=binarysearch cycles=3177 instructions=1257 cache-misses=6
[sample=80] cpu=0 bench=binarysearch cycles=4784 instructions=1257 cache-misses=7
[sample=81] cpu=0 bench=binarysearch cycles=5634 instructions=1258 cache-misses=8
[sample=82] cpu=0 bench=binarysearch cycles=3759 instructions=1257 cache-misses=6
[sample=83] cpu=0 bench=binarysearch cycles=3429 instructions=1257 cache-misses=6
[sample=84] cpu=0 bench=binarysearch cycles=2831 instructions=1257 cache-misses=3
[sample=85] cpu=0 bench=binarysearch cycles=5358 instructions=1258 cache-misses=4
[sample=86] cpu=0 bench=binarysearch cycles=14900 instructions=1258 cache-misses=3
[sample=87] cpu=0 bench=binarysearch cycles=5480 instructions=1258 cache-misses=6
[sample=88] cpu=0 bench=binarysearch cycles=3833 instructions=1258 cache-misses=7
[sample=89] cpu=0 bench=binarysearch cycles=2882 instructions=1258 cache-misses=7
[sample=90] cpu=0 bench=binarysearch cycles=3186 instructions=1258 cache-misses=7
[sample=91] cpu=0 bench=binarysearch cycles=4484 instructions=1257 cache-misses=7
[sample=92] cpu=0 bench=binarysearch cycles=4560 instructions=1257 cache-misses=6
[sample=93] cpu=0 bench=binarysearch cycles=13875 instructions=1257 cache-misses=9
[sample=94] cpu=0 bench=binarysearch cycles=4404 instructions=1257 cache-misses=7
[sample=95] cpu=0 bench=binarysearch cycles=5962 instructions=1257 cache-misses=9
[sample=96] cpu=0 bench=binarysearch cycles=3228 instructions=1257 cache-misses=8
[sample=97] cpu=0 bench=binarysearch cycles=3390 instructions=1257 cache-misses=7
[sample=98] cpu=0 bench=binarysearch cycles=3113 instructions=1257 cache-misses=6
[sample=99] cpu=0 bench=binarysearch cycles=9630 instructions=1257 cache-misses=7

# Statistics over 100 samples on cpu0 bench=binarysearch (background load on cpu1..cpu4)
# event                          min                  max                  avg               median
  cycles                        2461                39674              6746.52              4267.00
  instructions                  1257                 1262              1257.66              1258.00
  cache-misses                     2                   17                 7.08                 7.00
