i,victim,triple,c_obs_med,c_solo,a_real,a_max,violation
192,gsm_enc,cover+complex_updates+rijndael_enc,3532045.5,3527162.0,0.0,1.0,False
193,pm,isqrt+huff_dec+anagram,7793754.5,7814785.0,-0.8548,2.212,False
194,lift,cubic+statemate+bitonic,480166.0,443951.0,0.4838,0.0313,True
195,huff_dec,bsort+rijndael_enc+huff_dec,0,1.0,0.0,1.0,False
196,ndes,isqrt+lift+matrix1,28984.5,28979.5,0.0091,0.9763,False
197,fac,rad2deg+h264_dec+md5,254.0,248.0,0.6,1.2,False
198,sha,prime+insertsort+gsm_enc,1461224.5,1468088.5,-1.2523,13.1663,False
199,st,lift+h264_dec+cjpeg_wrbmp,94585.5,94319.0,1.1978,4.8584,False
200,quicksort,susan+huff_enc+h264_dec,2869716.0,2863682.5,1.6889,21.9323,False
201,deg2rad,rad2deg+cubic+st,3731.0,3733.5,0.0,1.0,False
202,minver,dijkstra+recursion+recursion,1371.5,1348.5,2.3,0.0,True
203,isqrt,iir+minver+cubic,573943.5,581086.5,0.0,1.0,False
204,dijkstra,h264_dec+audiobeam+powerwindow,42043598.5,42009725.0,1.0205,77.2717,False
205,duff,cubic+dijkstra+fft,2245.0,2236.5,0.2394,0.0,True
206,fac,jfdctint+binarysearch+bsort,257.0,248.0,0.9,1.2,False
207,cjpeg_transupp,cover+fmref+pm,2168128.0,2158442.0,0.7189,2.7366,False
208,cjpeg_transupp,powerwindow+countnegative+audiobeam,2170240.5,2158442.0,0.8757,2.7366,False
209,gsm_dec,gsm_dec+fft+jfdctint,1839547.0,1831781.5,1.078,3.9004,False
210,huff_dec,gsm_dec+anagram+countnegative,0,1.0,0.0,1.0,False
211,st,gsm_dec+fmref+recursion,95071.5,94319.0,3.382,4.8584,False
212,ludcmp,pm+adpcm_enc+statemate,2140.0,2147.0,-0.3043,0.0,False
213,test3,rad2deg+lms+fmref,212441683.0,217382108.0,-1.6737,0.4479,False
214,huff_enc,adpcm_dec+filterbank+epic,522235.5,525918.5,0.0,1.0,False
215,rad2deg,fmref+statemate+st,3731.0,3729.0,0.25,2.25,False
216,gsm_dec,jfdctint+quicksort+quicksort,1834132.5,1831781.5,0.3264,3.9004,False
217,jfdctint,rijndael_enc+matrix1+cover,2794.5,2774.0,1.1714,1.8571,False
218,iir,cover+dijkstra+gsm_enc,1577.5,1569.5,0.0416,0.0,True
219,iir,adpcm_enc+fmref+fft,1346.5,1569.5,-1.1584,0.0,False
220,ndes,petrinet+rijndael_enc+g723_enc,29749.0,28979.5,1.4055,0.9763,True
221,prime,cjpeg_wrbmp+st+huff_dec,354.0,341.0,0.3562,0.3973,False
222,bsort,md5+jfdctint+adpcm_enc,75005.5,75039.0,0.0,1.0,False
223,g723_enc,ludcmp+lms+ndes,321857.5,319057.5,0.8818,1.5757,False
224,adpcm_enc,binarysearch+mpeg2+gsm_enc,174257.0,173595.5,0.0,1.0,False
225,bsort,susan+huff_dec+complex_updates,74854.0,75039.0,0.0,1.0,False
226,anagram,deg2rad+fmref+fac,0,1.0,0.0,1.0,False
227,countnegative,huff_dec+fac+fft,9689.0,9671.5,0.1417,0.4777,False
228,rad2deg,test3+fmref+dijkstra,3727.5,3729.0,-0.1875,2.25,False
229,rad2deg,st+gsm_dec+deg2rad,3743.5,3729.0,1.8125,2.25,False
230,st,binarysearch+huff_enc+adpcm_enc,94749.5,94319.0,1.9348,4.8584,False
231,quicksort,jfdctint+anagram+filterbank,2860047.0,2863682.5,-1.0176,21.9323,False
232,cover,mpeg2+audiobeam+recursion,3658.0,3751.5,-20.7778,0.0,False
233,mpeg2,ammunition+rad2deg+adpcm_enc,262854916.5,262904752.5,-0.3005,13.4243,False
234,cubic,cosf+st+adpcm_enc,1154045.5,1146691.0,0.0,1.0,False
235,md5,cjpeg_transupp+cubic+bsort,18955252.5,18959441.0,-0.882,0.0,False
236,huff_enc,ndes+bitonic+lms,521816.0,525918.5,0.0,1.0,False
237,countnegative,huff_dec+pm+deg2rad,9694.5,9671.5,0.1862,0.4777,False
238,recursion,fir2dim+cjpeg_wrbmp+matrix1,1293.0,1293.0,0.0,1.0,False
239,matrix1,quicksort+powerwindow+bitonic,8036.5,8798.0,-1.8596,0.0,False
240,recursion,sha+cjpeg_wrbmp+epic,1293.0,1293.0,0.0,1.0,False
241,bitcount,ludcmp+adpcm_enc+epic,13635.0,13450.0,0.3152,0.0,True
242,lms,petrinet+fmref+g723_enc,156239.0,157621.5,-1.0602,2.7385,False
243,powerwindow,cosf+audiobeam+ludcmp,776399.0,778011.5,0.0,1.0,False
244,pm,st+minver+cubic,7855888.5,7814785.0,1.6707,2.212,False
245,bitcount,pm+recursion+epic,13566.0,13450.0,0.1976,0.0,True
246,statemate,petrinet+matrix1+rijndael_enc,23720.5,23773.5,-2.5854,0.0,False
247,bitonic,rijndael_dec+lms+rijndael_dec,7069.5,6972.5,0.6554,2.3412,False
248,ammunition,filterbank+jfdctint+gsm_enc,80709154.0,80687383.5,2.4188,41.3058,False
249,ndes,fir2dim+audiobeam+insertsort,29235.5,28979.5,0.4676,0.9763,False
250,mpeg2,fft+adpcm_dec+statemate,262842260.0,262904752.5,-0.3769,13.4243,False
251,gsm_dec,sha+iir+bitcount,1827342.5,1831781.5,-0.6162,3.9004,False
252,gsm_enc,fir2dim+minver+st,3532169.5,3527162.0,0.0,1.0,False
253,huff_dec,powerwindow+cjpeg_transupp+gsm_enc,0,1.0,0.0,1.0,False
254,complex_updates,prime+isqrt+mpeg2,967.0,986.0,-1.0857,5.4571,False
255,dijkstra,md5+rijndael_enc+jfdctint,42167532.0,42009725.0,4.7542,77.2717,False
256,recursion,huff_enc+huff_dec+gsm_enc,1293.0,1293.0,0.0,1.0,False
257,sha,prime+ludcmp+dijkstra,1455192.5,1468088.5,-2.3529,13.1663,False
258,fac,statemate+cubic+st,256.0,248.0,0.8,1.2,False
259,binarysearch,dijkstra+test3+h264_dec,693.5,664.0,1.0536,1.0357,True
260,cubic,rad2deg+huff_dec+lms,1151654.5,1146691.0,0.0,1.0,False
261,md5,ndes+fmref+fft,18976120.5,18959441.0,3.5122,0.0,True
262,adpcm_enc,iir+statemate+fac,174274.5,173595.5,0.0,1.0,False
263,complex_updates,iir+countnegative+filterbank,973.0,986.0,-0.7429,5.4571,False
264,rijndael_enc,deg2rad+fft+dijkstra,0,1.0,0.0,1.0,False
265,test3,matrix1+pm+test3,212505647.0,217382108.0,-1.652,0.4479,False
266,dijkstra,lift+adpcm_dec+isqrt,42125085.5,42009725.0,3.4754,77.2717,False
267,cosf,binarysearch+cubic+prime,14183.5,14047.0,0.0,1.0,False
268,gsm_dec,iir+lift+rad2deg,1836330.0,1831781.5,0.6314,3.9004,False
269,cubic,pm+huff_enc+mpeg2,1159410.0,1146691.0,0.0,1.0,False
270,powerwindow,iir+h264_dec+rijndael_dec,774580.0,778011.5,0.0,1.0,False
271,adpcm_enc,binarysearch+duff+cover,174251.5,173595.5,0.0,1.0,False
272,g723_enc,pm+cubic+epic,321623.5,319057.5,0.8081,1.5757,False
273,ndes,ludcmp+fir2dim+huff_enc,29608.0,28979.5,1.1479,0.9763,True
274,lift,isqrt+filterbank+gsm_enc,455542.0,443951.0,0.1549,0.0313,True
275,quicksort,lift+fft+filterbank,2870116.0,2863682.5,1.8008,21.9323,False
276,pm,huff_dec+dijkstra+epic,7815835.5,7814785.0,0.0427,2.212,False
277,deg2rad,cover+bitonic+prime,3721.5,3733.5,0.0,1.0,False
278,cosf,fac+bitonic+quicksort,14088.0,14047.0,0.0,1.0,False
279,jfdctint,rad2deg+pm+complex_updates,2794.0,2774.0,1.1429,1.8571,False
