t_s,victim,c_obs,rampart_full,ratio,violation
190.67,cosf,34180.5,59951.826,0.5701,False
203.68,test3,874950112.0,877025267.452,0.9976,False
204.04,jfdctint,10729.0,25117.031,0.4272,False
204.39,fac,1275.0,2439.197,0.5227,False
204.76,fir2dim,16408.5,14991.022,1.0946,True
205.16,fmref,755683.0,727400.933,1.0389,True
205.52,cosf,51799.5,59951.826,0.864,False
219.06,test3,895438942.0,877025267.452,1.021,True
219.42,jfdctint,16354.5,25117.031,0.6511,False
219.79,fac,1744.5,2439.197,0.7152,False
220.16,fir2dim,24884.5,14991.022,1.66,True
220.56,fmref,734756.0,727400.933,1.0101,True
220.92,cosf,34126.5,59951.826,0.5692,False
235.76,test3,875550821.0,877025267.452,0.9983,False
236.36,jfdctint,11244.5,25117.031,0.4477,False
236.94,fac,931.5,2439.197,0.3819,False
237.64,fir2dim,12966.0,14991.022,0.8649,False
237.99,fmref,701616.5,727400.933,0.9646,False
238.59,cosf,31370.5,59951.826,0.5233,False
253.33,test3,916176889.0,877025267.452,1.0446,True
253.69,jfdctint,10526.5,25117.031,0.4191,False
254.17,fac,2574.0,2439.197,1.0553,True
254.76,fir2dim,18802.0,14991.022,1.2542,True
255.29,fmref,717594.0,727400.933,0.9865,False
255.71,cosf,35138.0,59951.826,0.5861,False
271.97,test3,869566155.5,877025267.452,0.9915,False
272.5,jfdctint,8677.5,25117.031,0.3455,False
272.96,fac,1269.0,2439.197,0.5203,False
273.43,fir2dim,13274.0,14991.022,0.8855,False
273.92,fmref,741869.5,727400.933,1.0199,True
274.34,cosf,54849.0,59951.826,0.9149,False
289.65,test3,873418816.0,877025267.452,0.9959,False
290.03,jfdctint,33976.5,25117.031,1.3527,True
290.48,fac,954.5,2439.197,0.3913,False
290.87,fir2dim,38725.0,14991.022,2.5832,True
291.25,fmref,741200.0,727400.933,1.019,True
291.61,cosf,38937.0,59951.826,0.6495,False
307.0,test3,877396142.5,877025267.452,1.0004,True
307.36,jfdctint,13816.5,25117.031,0.5501,False
307.72,fac,1117.0,2439.197,0.4579,False
308.17,fir2dim,30355.5,14991.022,2.0249,True
308.6,fmref,744037.5,727400.933,1.0229,True
309.08,cosf,34728.5,59951.826,0.5793,False
321.99,test3,880519025.5,877025267.452,1.004,True
322.35,jfdctint,10652.0,25117.031,0.4241,False
322.71,fac,7005.5,2439.197,2.8721,True
323.06,fir2dim,17066.0,14991.022,1.1384,True
323.44,fmref,743263.0,727400.933,1.0218,True
323.8,cosf,55222.5,59951.826,0.9211,False
340.38,test3,862160369.0,877025267.452,0.9831,False
340.78,jfdctint,22917.5,25117.031,0.9124,False
341.4,fac,839.5,2439.197,0.3442,False
342.08,fir2dim,28939.0,14991.022,1.9304,True
342.7,fmref,713863.0,727400.933,0.9814,False
343.29,cosf,33302.5,59951.826,0.5555,False
358.39,test3,897583053.0,877025267.452,1.0234,True
361.98,jfdctint,9299.0,25117.031,0.3702,False
362.48,fac,890.5,2439.197,0.3651,False
362.99,fir2dim,13202.5,14991.022,0.8807,False
363.62,fmref,726707.5,727400.933,0.999,False
364.03,cosf,31799.5,59951.826,0.5304,False
380.89,test3,864002635.5,877025267.452,0.9852,False
381.27,jfdctint,39224.0,25117.031,1.5616,True
381.63,fac,1514.0,2439.197,0.6207,False
382.05,fir2dim,26739.0,14991.022,1.7837,True
382.44,fmref,747309.5,727400.933,1.0274,True
382.81,cosf,44246.5,59951.826,0.738,False
397.05,test3,880518546.5,877025267.452,1.004,True
397.42,jfdctint,9135.0,25117.031,0.3637,False
397.8,fac,5752.0,2439.197,2.3582,True
398.16,fir2dim,16716.0,14991.022,1.1151,True
398.56,fmref,743755.5,727400.933,1.0225,True
398.94,cosf,62880.0,59951.826,1.0488,True
413.37,test3,913779879.0,877025267.452,1.0419,True
413.82,jfdctint,30122.0,25117.031,1.1993,True
414.17,fac,2153.0,2439.197,0.8827,False
414.57,fir2dim,42126.5,14991.022,2.8101,True
414.95,fmref,748556.0,727400.933,1.0291,True
415.31,cosf,78211.0,59951.826,1.3046,True
428.83,test3,862773901.5,877025267.452,0.9838,False
429.19,jfdctint,33039.0,25117.031,1.3154,True
429.57,fac,3575.5,2439.197,1.4659,True
429.94,fir2dim,25127.5,14991.022,1.6762,True
430.33,fmref,739029.5,727400.933,1.016,True
430.73,cosf,63833.5,59951.826,1.0647,True
444.81,test3,879510633.5,877025267.452,1.0028,True
445.18,jfdctint,26899.0,25117.031,1.0709,True
445.54,fac,2974.5,2439.197,1.2195,True
445.93,fir2dim,41088.0,14991.022,2.7408,True
446.32,fmref,744010.0,727400.933,1.0228,True
446.71,cosf,74463.5,59951.826,1.2421,True
459.82,test3,877404616.0,877025267.452,1.0004,True
460.2,jfdctint,36411.0,25117.031,1.4497,True
460.59,fac,8154.0,2439.197,3.3429,True
460.97,fir2dim,23003.0,14991.022,1.5345,True
461.38,fmref,742625.5,727400.933,1.0209,True
461.74,cosf,58695.0,59951.826,0.979,False
474.94,test3,877902401.5,877025267.452,1.001,True
475.3,jfdctint,24366.0,25117.031,0.9701,False
475.67,fac,1170.5,2439.197,0.4799,False
476.03,fir2dim,33673.0,14991.022,2.2462,True
476.42,fmref,753098.5,727400.933,1.0353,True
477.0,cosf,36309.5,59951.826,0.6056,False
490.02,test3,878741455.5,877025267.452,1.002,True
490.38,jfdctint,20477.5,25117.031,0.8153,False
490.77,fac,4915.0,2439.197,2.015,True
491.13,fir2dim,21746.5,14991.022,1.4506,True
491.52,fmref,736447.0,727400.933,1.0124,True
491.88,cosf,50536.0,59951.826,0.8429,False
504.62,test3,878439254.0,877025267.452,1.0016,True
504.99,jfdctint,29469.5,25117.031,1.1733,True
505.37,fac,1071.5,2439.197,0.4393,False
505.74,fir2dim,14199.5,14991.022,0.9472,False
506.12,fmref,752072.0,727400.933,1.0339,True
506.48,cosf,32020.5,59951.826,0.5341,False
519.29,test3,876369661.0,877025267.452,0.9993,False
519.67,jfdctint,24043.5,25117.031,0.9573,False
520.04,fac,2172.5,2439.197,0.8907,False
520.4,fir2dim,15366.0,14991.022,1.025,True
520.79,fmref,735593.0,727400.933,1.0113,True
521.16,cosf,39534.0,59951.826,0.6594,False
534.43,test3,880515042.5,877025267.452,1.004,True
534.79,jfdctint,17812.5,25117.031,0.7092,False
535.15,fac,5159.5,2439.197,2.1152,True
535.52,fir2dim,27476.0,14991.022,1.8328,True
535.89,fmref,743370.5,727400.933,1.022,True
536.25,cosf,37534.5,59951.826,0.6261,False
550.57,test3,879207326.5,877025267.452,1.0025,True
550.93,jfdctint,39813.5,25117.031,1.5851,True
551.29,fac,8136.5,2439.197,3.3357,True
551.66,fir2dim,15677.0,14991.022,1.0458,True
552.05,fmref,742365.0,727400.933,1.0206,True
552.42,cosf,54443.5,59951.826,0.9081,False
565.18,test3,878632250.0,877025267.452,1.0018,True
565.55,jfdctint,34185.5,25117.031,1.361,True
565.91,fac,9737.0,2439.197,3.9919,True
566.28,fir2dim,36249.5,14991.022,2.4181,True
566.66,fmref,731836.5,727400.933,1.0061,True
567.02,cosf,50066.0,59951.826,0.8351,False
580.13,test3,874097487.0,877025267.452,0.9967,False
580.56,jfdctint,41805.0,25117.031,1.6644,True
580.95,fac,11289.0,2439.197,4.6282,True
581.34,fir2dim,30692.5,14991.022,2.0474,True
581.74,fmref,747332.5,727400.933,1.0274,True
582.11,cosf,54871.0,59951.826,0.9153,False
595.74,test3,875641022.5,877025267.452,0.9984,False
596.12,jfdctint,25475.0,25117.031,1.0143,True
596.48,fac,698.5,2439.197,0.2864,False
596.86,fir2dim,25926.5,14991.022,1.7295,True
597.25,fmref,737952.5,727400.933,1.0145,True
597.63,cosf,56237.0,59951.826,0.938,False
