victim,i,triple,c_obs,rampart_add,rampart_full,violates_add,violates_full
cosf,11,gsm_enc+cover+complex_updates,13946.0,14327.9,14327.9,False,False
cosf,12,rijndael_enc+pm+isqrt,14129.5,14327.9,14327.9,False,False
cosf,13,huff_dec+anagram+lift,14059.5,14327.9,14327.9,False,False
cosf,14,cubic+statemate+bitonic,13998.0,14327.9,14327.9,False,False
cosf,15,huff_dec+bsort+rijndael_enc,14066.5,14327.9,14327.9,False,False
cosf,16,huff_dec+ndes+isqrt,14130.0,14327.9,14327.9,False,False
cosf,17,lift+matrix1+fac,14101.0,14327.9,14327.9,False,False
cosf,18,rad2deg+h264_dec+md5,14018.5,14327.9,14327.9,False,False
cosf,19,sha+prime+insertsort,14065.0,14327.9,14327.9,False,False
countnegative,0,gsm_enc+st+lift,9754.0,9990.9,9990.9,False,False
countnegative,1,h264_dec+cjpeg_wrbmp+quicksort,9741.0,9990.9,9990.9,False,False
countnegative,2,susan+huff_enc+h264_dec,9683.0,9990.9,9990.9,False,False
countnegative,3,deg2rad+rad2deg+cubic,9698.5,9990.9,9990.9,False,False
countnegative,4,st+minver+dijkstra,9744.5,9990.9,9990.9,False,False
countnegative,5,recursion+isqrt+iir,9753.0,9990.9,9990.9,False,False
countnegative,6,minver+cubic+dijkstra,9840.5,9990.9,9990.9,False,False
countnegative,7,h264_dec+audiobeam+powerwindow,9702.0,9990.9,9990.9,False,False
countnegative,8,duff+cubic+dijkstra,9757.5,9990.9,9990.9,False,False
countnegative,9,fft+fac+jfdctint,9699.5,9990.9,9990.9,False,False
countnegative,10,binarysearch+bsort+cjpeg_transupp,9702.0,9990.9,9990.9,False,False
countnegative,11,cover+fmref+pm,9801.5,9990.9,9990.9,False,False
countnegative,12,cjpeg_transupp+powerwindow+countnegative,9793.0,9990.9,9990.9,False,False
countnegative,13,audiobeam+gsm_dec+fft,9697.5,9990.9,9990.9,False,False
countnegative,14,jfdctint+huff_dec+gsm_dec,9686.0,9990.9,9990.9,False,False
countnegative,15,anagram+countnegative+st,9752.5,9990.9,9990.9,False,False
countnegative,16,gsm_dec+fmref+recursion,9671.5,9990.9,9990.9,False,False
countnegative,17,ludcmp+pm+adpcm_enc,9687.5,9990.9,9990.9,False,False
countnegative,18,statemate+test3+rad2deg,9693.5,9990.9,9990.9,False,False
countnegative,19,lms+fmref+huff_enc,9712.0,9990.9,9990.9,False,False
cover,0,adpcm_dec+filterbank+epic,3649.0,3831.1,3831.1,False,False
cover,1,rad2deg+fmref+statemate,3732.0,3831.1,3831.1,False,False
cover,2,st+gsm_dec+jfdctint,3698.0,3831.1,3831.1,False,False
cover,3,quicksort+jfdctint+rijndael_enc,3707.0,3831.1,3831.1,False,False
cover,4,matrix1+cover+iir,3552.0,3831.1,3831.1,False,False
cover,5,cover+dijkstra+gsm_enc,3709.0,3831.1,3831.1,False,False
cover,6,iir+adpcm_enc+fmref,3615.0,3831.1,3831.1,False,False
cover,7,fft+ndes+petrinet,3687.5,3831.1,3831.1,False,False
cover,8,rijndael_enc+g723_enc+prime,3699.0,3831.1,3831.1,False,False
cover,9,cjpeg_wrbmp+st+huff_dec,3600.0,3831.1,3831.1,False,False
cover,10,bsort+md5+jfdctint,3787.5,3831.1,3831.1,False,False
cover,11,adpcm_enc+g723_enc+ludcmp,3693.0,3831.1,3831.1,False,False
cover,12,lms+ndes+adpcm_enc,3687.0,3831.1,3831.1,False,False
cover,13,binarysearch+mpeg2+gsm_enc,3716.0,3831.1,3831.1,False,False
cover,14,bsort+susan+huff_dec,3674.5,3831.1,3831.1,False,False
cover,15,complex_updates+anagram+deg2rad,3735.5,3831.1,3831.1,False,False
cover,16,fmref+fac+countnegative,3783.0,3831.1,3831.1,False,False
cover,17,huff_dec+fac+fft,3935.0,3831.1,3831.1,True,True
cover,18,rad2deg+test3+fmref,3711.0,3831.1,3831.1,False,False
cover,19,dijkstra+rad2deg+st,3766.5,3831.1,3831.1,False,False
cubic,0,gsm_dec+deg2rad+st,1150591.5,1169624.8,1169624.8,False,False
cubic,1,binarysearch+huff_enc+adpcm_enc,1148377.5,1169624.8,1169624.8,False,False
cubic,2,quicksort+jfdctint+anagram,1150283.0,1169624.8,1169624.8,False,False
cubic,3,filterbank+cover+mpeg2,1147687.0,1169624.8,1169624.8,False,False
cubic,4,audiobeam+recursion+mpeg2,1151005.0,1169624.8,1169624.8,False,False
cubic,5,ammunition+rad2deg+adpcm_enc,1145396.5,1169624.8,1169624.8,False,False
cubic,6,cubic+cosf+st,1143899.5,1169624.8,1169624.8,False,False
cubic,7,adpcm_enc+md5+cjpeg_transupp,1145905.5,1169624.8,1169624.8,False,False
cubic,8,cubic+bsort+huff_enc,1155596.5,1169624.8,1169624.8,False,False
cubic,9,ndes+bitonic+lms,1147979.0,1169624.8,1169624.8,False,False
cubic,10,countnegative+huff_dec+pm,1152690.5,1169624.8,1169624.8,False,False
cubic,11,deg2rad+recursion+fir2dim,1143030.0,1169624.8,1169624.8,False,False
cubic,12,cjpeg_wrbmp+matrix1+quicksort,1149343.5,1169624.8,1169624.8,False,False
cubic,13,powerwindow+bitonic+recursion,1149676.0,1169624.8,1169624.8,False,False
cubic,14,sha+cjpeg_wrbmp+epic,1143845.0,1169624.8,1169624.8,False,False
cubic,15,bitcount+ludcmp+adpcm_enc,1151101.5,1169624.8,1169624.8,False,False
cubic,16,epic+lms+petrinet,1145740.5,1169624.8,1169624.8,False,False
cubic,17,fmref+g723_enc+powerwindow,1146169.5,1169624.8,1169624.8,False,False
cubic,18,cosf+audiobeam+ludcmp,1151722.0,1169624.8,1169624.8,False,False
cubic,19,pm+st+minver,1145216.5,1169624.8,1169624.8,False,False
deg2rad,0,cubic+bitcount+pm,3703.0,3808.2,3808.2,False,False
deg2rad,1,recursion+epic+statemate,3730.0,3808.2,3808.2,False,False
deg2rad,2,petrinet+matrix1+rijndael_enc,3714.0,3808.2,3808.2,False,False
deg2rad,3,bitonic+rijndael_dec+lms,3717.5,3808.2,3808.2,False,False
deg2rad,4,rijndael_dec+ammunition+filterbank,3731.0,3808.2,3808.2,False,False
deg2rad,5,jfdctint+gsm_enc+ndes,3739.0,3808.2,3808.2,False,False
deg2rad,6,fir2dim+audiobeam+insertsort,3718.0,3808.2,3808.2,False,False
deg2rad,7,mpeg2+fft+adpcm_dec,3721.0,3808.2,3808.2,False,False
deg2rad,8,statemate+gsm_dec+sha,3705.0,3808.2,3808.2,False,False
deg2rad,9,iir+bitcount+gsm_enc,3756.5,3808.2,3808.2,False,False
deg2rad,10,fir2dim+minver+st,3724.5,3808.2,3808.2,False,False
