# board=imx8mm
# config=Mix
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=complex_updates (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_MEM
[sample=167] cpu=0 bench=complex_updates cycles=3650 instructions=2553 cache-misses=5
[sample=168] cpu=0 bench=complex_updates cycles=3596 instructions=2553 cache-misses=7
[sample=169] cpu=0 bench=complex_updates cycles=3608 instructions=2553 cache-misses=5
[sample=170] cpu=0 bench=complex_updates cycles=4031 instructions=2553 cache-misses=7
[sample=171] cpu=0 bench=complex_updates cycles=4271 instructions=2554 cache-misses=3
[sample=172] cpu=0 bench=complex_updates cycles=4316 instructions=2553 cache-misses=3
[sample=173] cpu=0 bench=complex_updates cycles=3845 instructions=2553 cache-misses=6
[sample=174] cpu=0 bench=complex_updates cycles=3569 instructions=2553 cache-misses=3
[sample=175] cpu=0 bench=complex_updates cycles=3602 instructions=2553 cache-misses=5
[sample=176] cpu=0 bench=complex_updates cycles=3581 instructions=2553 cache-misses=2
[sample=177] cpu=0 bench=complex_updates cycles=3769 instructions=2553 cache-misses=1
[sample=178] cpu=0 bench=complex_updates cycles=3979 instructions=2553 cache-misses=2
[sample=179] cpu=0 bench=complex_updates cycles=3952 instructions=2553 cache-misses=3
[sample=180] cpu=0 bench=complex_updates cycles=3626 instructions=2553 cache-misses=4
[sample=181] cpu=0 bench=complex_updates cycles=3625 instructions=2553 cache-misses=4
[sample=182] cpu=0 bench=complex_updates cycles=3590 instructions=2553 cache-misses=3
[sample=183] cpu=0 bench=complex_updates cycles=3804 instructions=2553 cache-misses=3
[sample=184] cpu=0 bench=complex_updates cycles=3625 instructions=2553 cache-misses=5
[sample=185] cpu=0 bench=complex_updates cycles=3656 instructions=2553 cache-misses=2
[sample=186] cpu=0 bench=complex_updates cycles=3584 instructions=2553 cache-misses=3
[sample=187] cpu=0 bench=complex_updates cycles=3728 instructions=2553 cache-misses=7
[sample=188] cpu=0 bench=complex_updates cycles=3591 instructions=2554 cache-misses=12
[sample=189] cpu=0 bench=complex_updates cycles=3968 instructions=2553 cache-misses=2
[sample=190] cpu=0 bench=complex_updates cycles=3622 instructions=2553 cache-misses=2
[sample=191] cpu=0 bench=complex_updates cycles=3929 instructions=2553 cache-misses=6
