# board=imx8mm
# config=Mix
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=bitcount (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_MEM
[sample=290] cpu=0 bench=bitcount cycles=31731 instructions=24583 cache-misses=11
[sample=291] cpu=0 bench=bitcount cycles=30899 instructions=24582 cache-misses=8
[sample=292] cpu=0 bench=bitcount cycles=31689 instructions=24581 cache-misses=10
[sample=293] cpu=0 bench=bitcount cycles=30254 instructions=24581 cache-misses=9
[sample=294] cpu=0 bench=bitcount cycles=30336 instructions=24583 cache-misses=11
[sample=295] cpu=0 bench=bitcount cycles=36321 instructions=24582 cache-misses=9
[sample=296] cpu=0 bench=bitcount cycles=31635 instructions=24582 cache-misses=17
[sample=297] cpu=0 bench=bitcount cycles=31368 instructions=24581 cache-misses=15
[sample=298] cpu=0 bench=bitcount cycles=31795 instructions=24582 cache-misses=13
[sample=299] cpu=0 bench=bitcount cycles=32746 instructions=24582 cache-misses=12
[sample=300] cpu=0 bench=bitcount cycles=31093 instructions=24581 cache-misses=15
[sample=301] cpu=0 bench=bitcount cycles=31086 instructions=24581 cache-misses=10
[sample=302] cpu=0 bench=bitcount cycles=30306 instructions=24584 cache-misses=11
[sample=303] cpu=0 bench=bitcount cycles=30298 instructions=24582 cache-misses=10
[sample=304] cpu=0 bench=bitcount cycles=33557 instructions=24581 cache-misses=13
[sample=305] cpu=0 bench=bitcount cycles=31878 instructions=24581 cache-misses=12
[sample=306] cpu=0 bench=bitcount cycles=30930 instructions=24582 cache-misses=12
[sample=307] cpu=0 bench=bitcount cycles=30559 instructions=24582 cache-misses=11
[sample=308] cpu=0 bench=bitcount cycles=30275 instructions=24581 cache-misses=10
[sample=309] cpu=0 bench=bitcount cycles=30366 instructions=24582 cache-misses=9
[sample=310] cpu=0 bench=bitcount cycles=31437 instructions=24582 cache-misses=10
[sample=311] cpu=0 bench=bitcount cycles=34890 instructions=24584 cache-misses=14
[sample=312] cpu=0 bench=bitcount cycles=31836 instructions=24582 cache-misses=13
[sample=313] cpu=0 bench=bitcount cycles=30360 instructions=24584 cache-misses=13
[sample=314] cpu=0 bench=bitcount cycles=30373 instructions=24582 cache-misses=11
[sample=315] cpu=0 bench=bitcount cycles=30297 instructions=24583 cache-misses=12
[sample=316] cpu=0 bench=bitcount cycles=34222 instructions=24583 cache-misses=13
[sample=317] cpu=0 bench=bitcount cycles=31065 instructions=24582 cache-misses=12
[sample=318] cpu=0 bench=bitcount cycles=31388 instructions=24583 cache-misses=11
[sample=319] cpu=0 bench=bitcount cycles=30328 instructions=24583 cache-misses=14
[sample=320] cpu=0 bench=bitcount cycles=30385 instructions=24583 cache-misses=11
[sample=321] cpu=0 bench=bitcount cycles=31144 instructions=24581 cache-misses=12
