# board=imx8mm
# config=Mix
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=adpcm_enc (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_MEM
[sample=197] cpu=0 bench=adpcm_enc cycles=317302 instructions=223673 cache-misses=13
[sample=198] cpu=0 bench=adpcm_enc cycles=310033 instructions=223675 cache-misses=13
[sample=199] cpu=0 bench=adpcm_enc cycles=310580 instructions=223674 cache-misses=14
[sample=200] cpu=0 bench=adpcm_enc cycles=315917 instructions=223672 cache-misses=16
[sample=201] cpu=0 bench=adpcm_enc cycles=492213 instructions=223673 cache-misses=12
[sample=202] cpu=0 bench=adpcm_enc cycles=326717 instructions=223675 cache-misses=25
[sample=203] cpu=0 bench=adpcm_enc cycles=329653 instructions=223671 cache-misses=24
[sample=204] cpu=0 bench=adpcm_enc cycles=315370 instructions=223672 cache-misses=18
[sample=205] cpu=0 bench=adpcm_enc cycles=324835 instructions=223673 cache-misses=14
[sample=206] cpu=0 bench=adpcm_enc cycles=314662 instructions=223673 cache-misses=13
[sample=207] cpu=0 bench=adpcm_enc cycles=319333 instructions=223674 cache-misses=15
[sample=208] cpu=0 bench=adpcm_enc cycles=319645 instructions=223673 cache-misses=15
[sample=209] cpu=0 bench=adpcm_enc cycles=320899 instructions=223673 cache-misses=9
[sample=210] cpu=0 bench=adpcm_enc cycles=315982 instructions=223673 cache-misses=13
[sample=211] cpu=0 bench=adpcm_enc cycles=309262 instructions=223673 cache-misses=12
[sample=212] cpu=0 bench=adpcm_enc cycles=317657 instructions=223673 cache-misses=15
[sample=213] cpu=0 bench=adpcm_enc cycles=311178 instructions=223673 cache-misses=16
[sample=214] cpu=0 bench=adpcm_enc cycles=340585 instructions=223675 cache-misses=28
[sample=215] cpu=0 bench=adpcm_enc cycles=339256 instructions=223673 cache-misses=21
[sample=216] cpu=0 bench=adpcm_enc cycles=344239 instructions=223673 cache-misses=20
[sample=217] cpu=0 bench=adpcm_enc cycles=334920 instructions=223674 cache-misses=14
[sample=218] cpu=0 bench=adpcm_enc cycles=323564 instructions=223674 cache-misses=14
[sample=219] cpu=0 bench=adpcm_enc cycles=337761 instructions=223674 cache-misses=17
[sample=220] cpu=0 bench=adpcm_enc cycles=326159 instructions=223674 cache-misses=15
[sample=221] cpu=0 bench=adpcm_enc cycles=312668 instructions=223674 cache-misses=17
[sample=222] cpu=0 bench=adpcm_enc cycles=348149 instructions=223677 cache-misses=26
[sample=223] cpu=0 bench=adpcm_enc cycles=348826 instructions=223674 cache-misses=19
[sample=224] cpu=0 bench=adpcm_enc cycles=329225 instructions=223673 cache-misses=19
