# board=imx8mm
# config=LLC+BUS
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=duff (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_BUS
[sample=259] cpu=0 bench=duff cycles=5364 instructions=3909 cache-misses=2
[sample=260] cpu=0 bench=duff cycles=5228 instructions=3909 cache-misses=1
[sample=261] cpu=0 bench=duff cycles=5615 instructions=3909 cache-misses=2
[sample=262] cpu=0 bench=duff cycles=5273 instructions=3909 cache-misses=3
[sample=263] cpu=0 bench=duff cycles=5076 instructions=3909 cache-misses=1
[sample=264] cpu=0 bench=duff cycles=4752 instructions=3909 cache-misses=1
[sample=265] cpu=0 bench=duff cycles=5438 instructions=3909 cache-misses=2
[sample=266] cpu=0 bench=duff cycles=4788 instructions=3909 cache-misses=1
[sample=267] cpu=0 bench=duff cycles=5245 instructions=3909 cache-misses=3
[sample=268] cpu=0 bench=duff cycles=5384 instructions=3909 cache-misses=2
[sample=269] cpu=0 bench=duff cycles=6281 instructions=3909 cache-misses=2
[sample=270] cpu=0 bench=duff cycles=10425 instructions=3909 cache-misses=3
[sample=271] cpu=0 bench=duff cycles=11363 instructions=3909 cache-misses=2
[sample=272] cpu=0 bench=duff cycles=4916 instructions=3909 cache-misses=2
[sample=273] cpu=0 bench=duff cycles=4786 instructions=3909 cache-misses=2
[sample=274] cpu=0 bench=duff cycles=5302 instructions=3909 cache-misses=3
[sample=275] cpu=0 bench=duff cycles=4874 instructions=3909 cache-misses=1
[sample=276] cpu=0 bench=duff cycles=5240 instructions=3909 cache-misses=1
[sample=277] cpu=0 bench=duff cycles=5219 instructions=3908 cache-misses=0
[sample=278] cpu=0 bench=duff cycles=17697 instructions=3909 cache-misses=5
[sample=279] cpu=0 bench=duff cycles=14468 instructions=3909 cache-misses=4
[sample=280] cpu=0 bench=duff cycles=11555 instructions=3909 cache-misses=1
[sample=281] cpu=0 bench=duff cycles=5544 instructions=3909 cache-misses=1
[sample=282] cpu=0 bench=duff cycles=4903 instructions=3909 cache-misses=2
[sample=283] cpu=0 bench=duff cycles=9579 instructions=3909 cache-misses=1
[sample=284] cpu=0 bench=duff cycles=5200 instructions=3909 cache-misses=1
[sample=285] cpu=0 bench=duff cycles=5085 instructions=3909 cache-misses=1
[sample=286] cpu=0 bench=duff cycles=4909 instructions=3909 cache-misses=1
[sample=287] cpu=0 bench=duff cycles=5019 instructions=3909 cache-misses=1
[sample=288] cpu=0 bench=duff cycles=4940 instructions=3909 cache-misses=2
[sample=289] cpu=0 bench=duff cycles=5224 instructions=3908 cache-misses=1
[sample=290] cpu=0 bench=duff cycles=5094 instructions=3908 cache-misses=1
[sample=291] cpu=0 bench=duff cycles=5131 instructions=3909 cache-misses=0
[sample=292] cpu=0 bench=duff cycles=5358 instructions=3908 cache-misses=2
[sample=293] cpu=0 bench=duff cycles=5166 instructions=3908 cache-misses=1
[sample=294] cpu=0 bench=duff cycles=5199 instructions=3908 cache-misses=1
[sample=295] cpu=0 bench=duff cycles=5058 instructions=3908 cache-misses=2
[sample=296] cpu=0 bench=duff cycles=4819 instructions=3908 cache-misses=2
[sample=297] cpu=0 bench=duff cycles=5154 instructions=3909 cache-misses=0
[sample=298] cpu=0 bench=duff cycles=5016 instructions=3909 cache-misses=1
[sample=299] cpu=0 bench=duff cycles=5031 instructions=3909 cache-misses=1
[sample=300] cpu=0 bench=duff cycles=5318 instructions=3909 cache-misses=2
[sample=301] cpu=0 bench=duff cycles=5483 instructions=3909 cache-misses=1
[sample=302] cpu=0 bench=duff cycles=5181 instructions=3909 cache-misses=2
[sample=303] cpu=0 bench=duff cycles=5539 instructions=3909 cache-misses=1
[sample=304] cpu=0 bench=duff cycles=5368 instructions=3909 cache-misses=3
[sample=305] cpu=0 bench=duff cycles=6506 instructions=3909 cache-misses=3
[sample=306] cpu=0 bench=duff cycles=5922 instructions=3909 cache-misses=3
[sample=307] cpu=0 bench=duff cycles=5382 instructions=3909 cache-misses=1
[sample=308] cpu=0 bench=duff cycles=5072 instructions=3909 cache-misses=1
[sample=309] cpu=0 bench=duff cycles=4849 instructions=3909 cache-misses=1
[sample=310] cpu=0 bench=duff cycles=4820 instructions=3909 cache-misses=1
[sample=311] cpu=0 bench=duff cycles=4770 instructions=3909 cache-misses=0
[sample=312] cpu=0 bench=duff cycles=5119 instructions=3909 cache-misses=2
[sample=313] cpu=0 bench=duff cycles=5773 instructions=3909 cache-misses=1
[sample=314] cpu=0 bench=duff cycles=4956 instructions=3909 cache-misses=2
[sample=315] cpu=0 bench=duff cycles=7959 instructions=3909 cache-misses=2
[sample=316] cpu=0 bench=duff cycles=5773 instructions=3909 cache-misses=1
[sample=317] cpu=0 bench=duff cycles=5294 instructions=3909 cache-misses=1
[sample=318] cpu=0 bench=duff cycles=5258 instructions=3909 cache-misses=1
[sample=319] cpu=0 bench=duff cycles=4835 instructions=3909 cache-misses=1
[sample=320] cpu=0 bench=duff cycles=5150 instructions=3909 cache-misses=1
[sample=321] cpu=0 bench=duff cycles=5633 instructions=3909 cache-misses=2
[sample=322] cpu=0 bench=duff cycles=9887 instructions=3909 cache-misses=1
[sample=323] cpu=0 bench=duff cycles=5411 instructions=3909 cache-misses=2
[sample=324] cpu=0 bench=duff cycles=5116 instructions=3909 cache-misses=1
[sample=325] cpu=0 bench=duff cycles=6292 instructions=3909 cache-misses=2
[sample=326] cpu=0 bench=duff cycles=5198 instructions=3909 cache-misses=1
[sample=327] cpu=0 bench=duff cycles=5278 instructions=3909 cache-misses=1
[sample=328] cpu=0 bench=duff cycles=5273 instructions=3909 cache-misses=1
[sample=329] cpu=0 bench=duff cycles=6434 instructions=3909 cache-misses=2
[sample=330] cpu=0 bench=duff cycles=4872 instructions=3909 cache-misses=1
[sample=331] cpu=0 bench=duff cycles=5002 instructions=3909 cache-misses=1
[sample=332] cpu=0 bench=duff cycles=4791 instructions=3909 cache-misses=1
[sample=333] cpu=0 bench=duff cycles=4966 instructions=3909 cache-misses=1
[sample=334] cpu=0 bench=duff cycles=4979 instructions=3909 cache-misses=1
[sample=335] cpu=0 bench=duff cycles=5101 instructions=3909 cache-misses=0
[sample=336] cpu=0 bench=duff cycles=5457 instructions=3909 cache-misses=1
[sample=337] cpu=0 bench=duff cycles=5112 instructions=3909 cache-misses=1
