# board=imx8mm
# config=LLC+BUS
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=jfdctint (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_BUS
[sample=193] cpu=0 bench=jfdctint cycles=9493 instructions=6381 cache-misses=6
[sample=194] cpu=0 bench=jfdctint cycles=9972 instructions=6381 cache-misses=3
[sample=195] cpu=0 bench=jfdctint cycles=9501 instructions=6381 cache-misses=5
[sample=196] cpu=0 bench=jfdctint cycles=8512 instructions=6381 cache-misses=4
[sample=197] cpu=0 bench=jfdctint cycles=8548 instructions=6381 cache-misses=5
[sample=198] cpu=0 bench=jfdctint cycles=9748 instructions=6381 cache-misses=3
[sample=199] cpu=0 bench=jfdctint cycles=10835 instructions=6381 cache-misses=6
[sample=200] cpu=0 bench=jfdctint cycles=9542 instructions=6381 cache-misses=3
[sample=201] cpu=0 bench=jfdctint cycles=9205 instructions=6381 cache-misses=3
[sample=202] cpu=0 bench=jfdctint cycles=11323 instructions=6381 cache-misses=5
[sample=203] cpu=0 bench=jfdctint cycles=12145 instructions=6381 cache-misses=2
[sample=204] cpu=0 bench=jfdctint cycles=9465 instructions=6381 cache-misses=3
[sample=205] cpu=0 bench=jfdctint cycles=10051 instructions=6381 cache-misses=5
[sample=206] cpu=0 bench=jfdctint cycles=9567 instructions=6381 cache-misses=4
[sample=207] cpu=0 bench=jfdctint cycles=9533 instructions=6381 cache-misses=4
[sample=208] cpu=0 bench=jfdctint cycles=13874 instructions=6381 cache-misses=5
[sample=209] cpu=0 bench=jfdctint cycles=9554 instructions=6381 cache-misses=6
[sample=210] cpu=0 bench=jfdctint cycles=11277 instructions=6381 cache-misses=3
[sample=211] cpu=0 bench=jfdctint cycles=9670 instructions=6381 cache-misses=4
[sample=212] cpu=0 bench=jfdctint cycles=15372 instructions=6381 cache-misses=3
[sample=213] cpu=0 bench=jfdctint cycles=13245 instructions=6381 cache-misses=4
[sample=214] cpu=0 bench=jfdctint cycles=9770 instructions=6381 cache-misses=4
[sample=215] cpu=0 bench=jfdctint cycles=9381 instructions=6381 cache-misses=3
[sample=216] cpu=0 bench=jfdctint cycles=8515 instructions=6381 cache-misses=3
[sample=217] cpu=0 bench=jfdctint cycles=8513 instructions=6381 cache-misses=4
[sample=218] cpu=0 bench=jfdctint cycles=9986 instructions=6381 cache-misses=3
[sample=219] cpu=0 bench=jfdctint cycles=9471 instructions=6381 cache-misses=3
[sample=220] cpu=0 bench=jfdctint cycles=9389 instructions=6381 cache-misses=4
[sample=221] cpu=0 bench=jfdctint cycles=9434 instructions=6381 cache-misses=4
[sample=222] cpu=0 bench=jfdctint cycles=13183 instructions=6381 cache-misses=4
[sample=223] cpu=0 bench=jfdctint cycles=9993 instructions=6381 cache-misses=4
[sample=224] cpu=0 bench=jfdctint cycles=8926 instructions=6381 cache-misses=4
[sample=225] cpu=0 bench=jfdctint cycles=8541 instructions=6381 cache-misses=3
[sample=226] cpu=0 bench=jfdctint cycles=10055 instructions=6381 cache-misses=1
[sample=227] cpu=0 bench=jfdctint cycles=9740 instructions=6381 cache-misses=2
[sample=228] cpu=0 bench=jfdctint cycles=10076 instructions=6381 cache-misses=5
[sample=229] cpu=0 bench=jfdctint cycles=10172 instructions=6381 cache-misses=4
[sample=230] cpu=0 bench=jfdctint cycles=9651 instructions=6381 cache-misses=3
[sample=231] cpu=0 bench=jfdctint cycles=9122 instructions=6381 cache-misses=3
[sample=232] cpu=0 bench=jfdctint cycles=13287 instructions=6381 cache-misses=2
[sample=233] cpu=0 bench=jfdctint cycles=9005 instructions=6381 cache-misses=3
[sample=234] cpu=0 bench=jfdctint cycles=8520 instructions=6381 cache-misses=3
[sample=235] cpu=0 bench=jfdctint cycles=9580 instructions=6381 cache-misses=6
[sample=236] cpu=0 bench=jfdctint cycles=9578 instructions=6381 cache-misses=4
[sample=237] cpu=0 bench=jfdctint cycles=9444 instructions=6381 cache-misses=3
[sample=238] cpu=0 bench=jfdctint cycles=10135 instructions=6381 cache-misses=3
[sample=239] cpu=0 bench=jfdctint cycles=9206 instructions=6381 cache-misses=3
[sample=240] cpu=0 bench=jfdctint cycles=9114 instructions=6381 cache-misses=3
[sample=241] cpu=0 bench=jfdctint cycles=8503 instructions=6381 cache-misses=2
[sample=242] cpu=0 bench=jfdctint cycles=8528 instructions=6381 cache-misses=3
[sample=243] cpu=0 bench=jfdctint cycles=9255 instructions=6381 cache-misses=3
[sample=244] cpu=0 bench=jfdctint cycles=10545 instructions=6381 cache-misses=5
[sample=245] cpu=0 bench=jfdctint cycles=9444 instructions=6381 cache-misses=3
[sample=246] cpu=0 bench=jfdctint cycles=12555 instructions=6381 cache-misses=6
[sample=247] cpu=0 bench=jfdctint cycles=9983 instructions=6381 cache-misses=4
[sample=248] cpu=0 bench=jfdctint cycles=9884 instructions=6381 cache-misses=3
[sample=249] cpu=0 bench=jfdctint cycles=9788 instructions=6381 cache-misses=2
[sample=250] cpu=0 bench=jfdctint cycles=8494 instructions=6381 cache-misses=3
[sample=251] cpu=0 bench=jfdctint cycles=9053 instructions=6381 cache-misses=3
[sample=252] cpu=0 bench=jfdctint cycles=9696 instructions=6381 cache-misses=3
[sample=253] cpu=0 bench=jfdctint cycles=14848 instructions=6381 cache-misses=3
[sample=254] cpu=0 bench=jfdctint cycles=9530 instructions=6381 cache-misses=3
[sample=255] cpu=0 bench=jfdctint cycles=9790 instructions=6381 cache-misses=3
[sample=256] cpu=0 bench=jfdctint cycles=14294 instructions=6381 cache-misses=5
[sample=257] cpu=0 bench=jfdctint cycles=13219 instructions=6381 cache-misses=4
[sample=258] cpu=0 bench=jfdctint cycles=9151 instructions=6381 cache-misses=3
[sample=259] cpu=0 bench=jfdctint cycles=9205 instructions=6381 cache-misses=2
[sample=260] cpu=0 bench=jfdctint cycles=17339 instructions=6381 cache-misses=7
[sample=261] cpu=0 bench=jfdctint cycles=12129 instructions=6381 cache-misses=5
[sample=262] cpu=0 bench=jfdctint cycles=9451 instructions=6381 cache-misses=5
[sample=263] cpu=0 bench=jfdctint cycles=9618 instructions=6381 cache-misses=3
[sample=264] cpu=0 bench=jfdctint cycles=9528 instructions=6381 cache-misses=3
[sample=265] cpu=0 bench=jfdctint cycles=9529 instructions=6381 cache-misses=4
[sample=266] cpu=0 bench=jfdctint cycles=8510 instructions=6381 cache-misses=5
[sample=267] cpu=0 bench=jfdctint cycles=9280 instructions=6381 cache-misses=3
[sample=268] cpu=0 bench=jfdctint cycles=9941 instructions=6381 cache-misses=4
[sample=269] cpu=0 bench=jfdctint cycles=13186 instructions=6381 cache-misses=2
[sample=270] cpu=0 bench=jfdctint cycles=9765 instructions=6381 cache-misses=5
[sample=271] cpu=0 bench=jfdctint cycles=9886 instructions=6381 cache-misses=1
[sample=272] cpu=0 bench=jfdctint cycles=9523 instructions=6381 cache-misses=4
[sample=273] cpu=0 bench=jfdctint cycles=8509 instructions=6381 cache-misses=3
[sample=274] cpu=0 bench=jfdctint cycles=8730 instructions=6381 cache-misses=4
[sample=275] cpu=0 bench=jfdctint cycles=8512 instructions=6381 cache-misses=4
[sample=276] cpu=0 bench=jfdctint cycles=9239 instructions=6381 cache-misses=3
[sample=277] cpu=0 bench=jfdctint cycles=9612 instructions=6381 cache-misses=4
[sample=278] cpu=0 bench=jfdctint cycles=9616 instructions=6381 cache-misses=4
[sample=279] cpu=0 bench=jfdctint cycles=10434 instructions=6381 cache-misses=4
[sample=280] cpu=0 bench=jfdctint cycles=9799 instructions=6381 cache-misses=3
[sample=281] cpu=0 bench=jfdctint cycles=8484 instructions=6381 cache-misses=2
[sample=282] cpu=0 bench=jfdctint cycles=9026 instructions=6381 cache-misses=4
[sample=283] cpu=0 bench=jfdctint cycles=8930 instructions=6381 cache-misses=3
[sample=284] cpu=0 bench=jfdctint cycles=9769 instructions=6381 cache-misses=3
[sample=285] cpu=0 bench=jfdctint cycles=9352 instructions=6381 cache-misses=3
[sample=286] cpu=0 bench=jfdctint cycles=9770 instructions=6381 cache-misses=2
[sample=287] cpu=0 bench=jfdctint cycles=9429 instructions=6381 cache-misses=2
[sample=288] cpu=0 bench=jfdctint cycles=9482 instructions=6381 cache-misses=3
[sample=289] cpu=0 bench=jfdctint cycles=8489 instructions=6381 cache-misses=4
[sample=290] cpu=0 bench=jfdctint cycles=10421 instructions=6381 cache-misses=6
[sample=291] cpu=0 bench=jfdctint cycles=8486 instructions=6381 cache-misses=3
[sample=292] cpu=0 bench=jfdctint cycles=9681 instructions=6381 cache-misses=3
[sample=293] cpu=0 bench=jfdctint cycles=10123 instructions=6381 cache-misses=4
[sample=294] cpu=0 bench=jfdctint cycles=9683 instructions=6381 cache-misses=4
[sample=295] cpu=0 bench=jfdctint cycles=9871 instructions=6381 cache-misses=4
[sample=296] cpu=0 bench=jfdctint cycles=9838 instructions=6381 cache-misses=4
[sample=297] cpu=0 bench=jfdctint cycles=10461 instructions=6381 cache-misses=4
[sample=298] cpu=0 bench=jfdctint cycles=13509 instructions=6381 cache-misses=7
[sample=299] cpu=0 bench=jfdctint cycles=9262 instructions=6381 cache-misses=7
[sample=300] cpu=0 bench=jfdctint cycles=11112 instructions=6381 cache-misses=6
[sample=301] cpu=0 bench=jfdctint cycles=10209 instructions=6381 cache-misses=6
[sample=302] cpu=0 bench=jfdctint cycles=9752 instructions=6381 cache-misses=4
[sample=303] cpu=0 bench=jfdctint cycles=9963 instructions=6381 cache-misses=4
[sample=304] cpu=0 bench=jfdctint cycles=10051 instructions=6381 cache-misses=4
[sample=305] cpu=0 bench=jfdctint cycles=8536 instructions=6381 cache-misses=4
[sample=306] cpu=0 bench=jfdctint cycles=9758 instructions=6381 cache-misses=3
[sample=307] cpu=0 bench=jfdctint cycles=15099 instructions=6381 cache-misses=7
[sample=308] cpu=0 bench=jfdctint cycles=14351 instructions=6381 cache-misses=6
[sample=309] cpu=0 bench=jfdctint cycles=8718 instructions=6381 cache-misses=4
[sample=310] cpu=0 bench=jfdctint cycles=9243 instructions=6381 cache-misses=5
[sample=311] cpu=0 bench=jfdctint cycles=31249 instructions=6381 cache-misses=5
[sample=312] cpu=0 bench=jfdctint cycles=9151 instructions=6381 cache-misses=6
[sample=313] cpu=0 bench=jfdctint cycles=8772 instructions=6381 cache-misses=4
