# board=imx8mm
# config=BUS+MEM
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=ndes (measured)  cpu1=MAX_BUS  cpu2=MAX_MEM  cpu3=MAX_MEM
[sample=271] cpu=0 bench=ndes cycles=108902 instructions=83050 cache-misses=30
[sample=272] cpu=0 bench=ndes cycles=106775 instructions=83050 cache-misses=39
[sample=273] cpu=0 bench=ndes cycles=105380 instructions=83049 cache-misses=36
[sample=274] cpu=0 bench=ndes cycles=107241 instructions=83050 cache-misses=34
[sample=275] cpu=0 bench=ndes cycles=113687 instructions=83049 cache-misses=45
[sample=276] cpu=0 bench=ndes cycles=107004 instructions=83052 cache-misses=51
[sample=277] cpu=0 bench=ndes cycles=121708 instructions=83052 cache-misses=53
[sample=278] cpu=0 bench=ndes cycles=135731 instructions=83050 cache-misses=43
[sample=279] cpu=0 bench=ndes cycles=108312 instructions=83050 cache-misses=47
[sample=280] cpu=0 bench=ndes cycles=107632 instructions=83049 cache-misses=39
[sample=281] cpu=0 bench=ndes cycles=109962 instructions=83049 cache-misses=40
[sample=282] cpu=0 bench=ndes cycles=109180 instructions=83048 cache-misses=35
[sample=283] cpu=0 bench=ndes cycles=105523 instructions=83050 cache-misses=37
[sample=284] cpu=0 bench=ndes cycles=108220 instructions=83051 cache-misses=37
[sample=285] cpu=0 bench=ndes cycles=107832 instructions=83049 cache-misses=35
[sample=286] cpu=0 bench=ndes cycles=106526 instructions=83049 cache-misses=34
[sample=287] cpu=0 bench=ndes cycles=105545 instructions=83049 cache-misses=37
[sample=288] cpu=0 bench=ndes cycles=112276 instructions=83049 cache-misses=37
[sample=289] cpu=0 bench=ndes cycles=109839 instructions=83050 cache-misses=44
[sample=290] cpu=0 bench=ndes cycles=110352 instructions=83049 cache-misses=41
[sample=291] cpu=0 bench=ndes cycles=109216 instructions=83051 cache-misses=45
[sample=292] cpu=0 bench=ndes cycles=105484 instructions=83049 cache-misses=36
[sample=293] cpu=0 bench=ndes cycles=107740 instructions=83050 cache-misses=38
[sample=294] cpu=0 bench=ndes cycles=108889 instructions=83049 cache-misses=42
[sample=295] cpu=0 bench=ndes cycles=112267 instructions=83049 cache-misses=49
[sample=296] cpu=0 bench=ndes cycles=115637 instructions=83050 cache-misses=41
[sample=297] cpu=0 bench=ndes cycles=113234 instructions=83051 cache-misses=34
[sample=298] cpu=0 bench=ndes cycles=105307 instructions=83051 cache-misses=40
