# board=imx8mm
# config=LLC
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=cubic (measured)  cpu1=MAX_LLC  cpu2=MAX_LLC  cpu3=MAX_LLC
[sample=290] cpu=0 bench=cubic cycles=2164497 instructions=1454957 cache-misses=18
[sample=291] cpu=0 bench=cubic cycles=2226117 instructions=1454955 cache-misses=11
[sample=292] cpu=0 bench=cubic cycles=2172184 instructions=1454949 cache-misses=18
[sample=293] cpu=0 bench=cubic cycles=2143466 instructions=1454950 cache-misses=10
[sample=294] cpu=0 bench=cubic cycles=2162172 instructions=1454951 cache-misses=18
[sample=295] cpu=0 bench=cubic cycles=2153185 instructions=1454951 cache-misses=14
[sample=296] cpu=0 bench=cubic cycles=2160265 instructions=1454948 cache-misses=12
[sample=297] cpu=0 bench=cubic cycles=2229338 instructions=1454952 cache-misses=11
[sample=298] cpu=0 bench=cubic cycles=2167704 instructions=1454949 cache-misses=13
[sample=299] cpu=0 bench=cubic cycles=2165008 instructions=1454950 cache-misses=12
[sample=300] cpu=0 bench=cubic cycles=2151545 instructions=1454953 cache-misses=12
[sample=301] cpu=0 bench=cubic cycles=2157244 instructions=1454956 cache-misses=18
[sample=302] cpu=0 bench=cubic cycles=2151347 instructions=1454951 cache-misses=14
[sample=303] cpu=0 bench=cubic cycles=2272750 instructions=1454951 cache-misses=14
[sample=304] cpu=0 bench=cubic cycles=2172875 instructions=1454952 cache-misses=16
[sample=305] cpu=0 bench=cubic cycles=2168581 instructions=1454952 cache-misses=15
[sample=306] cpu=0 bench=cubic cycles=2147835 instructions=1454958 cache-misses=12
[sample=307] cpu=0 bench=cubic cycles=2151105 instructions=1454950 cache-misses=7
[sample=308] cpu=0 bench=cubic cycles=2157156 instructions=1454956 cache-misses=16
[sample=309] cpu=0 bench=cubic cycles=2227366 instructions=1454950 cache-misses=15
[sample=310] cpu=0 bench=cubic cycles=2173619 instructions=1454949 cache-misses=12
[sample=311] cpu=0 bench=cubic cycles=2142307 instructions=1454955 cache-misses=8
[sample=312] cpu=0 bench=cubic cycles=2162054 instructions=1454956 cache-misses=15
[sample=313] cpu=0 bench=cubic cycles=2151468 instructions=1454958 cache-misses=13
