# board=imx8mm
# config=BUS
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=prime (measured)  cpu1=MAX_BUS  cpu2=MAX_BUS  cpu3=MAX_BUS
[sample=226] cpu=0 bench=prime cycles=4891 instructions=673 cache-misses=6
[sample=227] cpu=0 bench=prime cycles=2271 instructions=672 cache-misses=6
[sample=228] cpu=0 bench=prime cycles=2789 instructions=672 cache-misses=6
[sample=229] cpu=0 bench=prime cycles=3057 instructions=672 cache-misses=6
[sample=230] cpu=0 bench=prime cycles=2438 instructions=673 cache-misses=5
[sample=231] cpu=0 bench=prime cycles=3243 instructions=672 cache-misses=5
[sample=232] cpu=0 bench=prime cycles=3191 instructions=673 cache-misses=5
[sample=233] cpu=0 bench=prime cycles=2321 instructions=672 cache-misses=6
[sample=234] cpu=0 bench=prime cycles=3415 instructions=672 cache-misses=6
[sample=235] cpu=0 bench=prime cycles=2525 instructions=672 cache-misses=5
[sample=236] cpu=0 bench=prime cycles=2964 instructions=672 cache-misses=5
[sample=237] cpu=0 bench=prime cycles=2736 instructions=672 cache-misses=6
[sample=238] cpu=0 bench=prime cycles=3666 instructions=673 cache-misses=4
[sample=239] cpu=0 bench=prime cycles=1230 instructions=672 cache-misses=9
[sample=240] cpu=0 bench=prime cycles=1778 instructions=672 cache-misses=5
[sample=241] cpu=0 bench=prime cycles=2340 instructions=674 cache-misses=5
[sample=242] cpu=0 bench=prime cycles=2555 instructions=673 cache-misses=5
[sample=243] cpu=0 bench=prime cycles=2429 instructions=672 cache-misses=5
[sample=244] cpu=0 bench=prime cycles=2388 instructions=673 cache-misses=6
[sample=245] cpu=0 bench=prime cycles=2196 instructions=673 cache-misses=7
[sample=246] cpu=0 bench=prime cycles=2501 instructions=672 cache-misses=6
[sample=247] cpu=0 bench=prime cycles=9336 instructions=673 cache-misses=6
[sample=248] cpu=0 bench=prime cycles=1110 instructions=673 cache-misses=5
[sample=249] cpu=0 bench=prime cycles=2688 instructions=674 cache-misses=6
[sample=250] cpu=0 bench=prime cycles=7181 instructions=672 cache-misses=6
[sample=251] cpu=0 bench=prime cycles=3087 instructions=674 cache-misses=6
[sample=252] cpu=0 bench=prime cycles=3131 instructions=672 cache-misses=7
[sample=253] cpu=0 bench=prime cycles=2830 instructions=672 cache-misses=6
[sample=254] cpu=0 bench=prime cycles=2548 instructions=672 cache-misses=5
[sample=255] cpu=0 bench=prime cycles=2928 instructions=672 cache-misses=6
[sample=256] cpu=0 bench=prime cycles=1852 instructions=672 cache-misses=5
[sample=257] cpu=0 bench=prime cycles=3118 instructions=672 cache-misses=6
[sample=258] cpu=0 bench=prime cycles=1610 instructions=672 cache-misses=5
[sample=259] cpu=0 bench=prime cycles=2308 instructions=673 cache-misses=6
[sample=260] cpu=0 bench=prime cycles=1837 instructions=673 cache-misses=4
[sample=261] cpu=0 bench=prime cycles=2373 instructions=672 cache-misses=4
[sample=262] cpu=0 bench=prime cycles=2406 instructions=672 cache-misses=6
[sample=263] cpu=0 bench=prime cycles=2251 instructions=672 cache-misses=5
[sample=264] cpu=0 bench=prime cycles=3413 instructions=674 cache-misses=6
[sample=265] cpu=0 bench=prime cycles=2399 instructions=673 cache-misses=5
[sample=266] cpu=0 bench=prime cycles=2986 instructions=672 cache-misses=6
[sample=267] cpu=0 bench=prime cycles=2205 instructions=673 cache-misses=6
[sample=268] cpu=0 bench=prime cycles=1425 instructions=672 cache-misses=5
[sample=269] cpu=0 bench=prime cycles=2094 instructions=673 cache-misses=5
[sample=270] cpu=0 bench=prime cycles=1907 instructions=672 cache-misses=4
[sample=271] cpu=0 bench=prime cycles=2243 instructions=672 cache-misses=5
[sample=272] cpu=0 bench=prime cycles=2714 instructions=673 cache-misses=5
[sample=273] cpu=0 bench=prime cycles=2531 instructions=672 cache-misses=4
[sample=274] cpu=0 bench=prime cycles=11345 instructions=674 cache-misses=6
[sample=275] cpu=0 bench=prime cycles=3047 instructions=672 cache-misses=4
[sample=276] cpu=0 bench=prime cycles=1915 instructions=672 cache-misses=7
[sample=277] cpu=0 bench=prime cycles=2135 instructions=672 cache-misses=6
[sample=278] cpu=0 bench=prime cycles=2338 instructions=672 cache-misses=4
[sample=279] cpu=0 bench=prime cycles=2689 instructions=673 cache-misses=6
[sample=280] cpu=0 bench=prime cycles=2128 instructions=672 cache-misses=4
[sample=281] cpu=0 bench=prime cycles=2357 instructions=672 cache-misses=4
[sample=282] cpu=0 bench=prime cycles=2056 instructions=672 cache-misses=5
[sample=283] cpu=0 bench=prime cycles=2733 instructions=672 cache-misses=6
[sample=284] cpu=0 bench=prime cycles=2537 instructions=672 cache-misses=3
[sample=285] cpu=0 bench=prime cycles=2289 instructions=671 cache-misses=5
[sample=286] cpu=0 bench=prime cycles=2851 instructions=673 cache-misses=5
[sample=287] cpu=0 bench=prime cycles=2229 instructions=671 cache-misses=5
[sample=288] cpu=0 bench=prime cycles=2479 instructions=672 cache-misses=6
[sample=289] cpu=0 bench=prime cycles=5702 instructions=673 cache-misses=7
[sample=290] cpu=0 bench=prime cycles=4206 instructions=672 cache-misses=3
[sample=291] cpu=0 bench=prime cycles=2596 instructions=673 cache-misses=6
[sample=292] cpu=0 bench=prime cycles=1774 instructions=672 cache-misses=6
[sample=293] cpu=0 bench=prime cycles=1326 instructions=670 cache-misses=5
[sample=294] cpu=0 bench=prime cycles=2234 instructions=674 cache-misses=4
[sample=295] cpu=0 bench=prime cycles=1681 instructions=673 cache-misses=7
[sample=296] cpu=0 bench=prime cycles=2250 instructions=673 cache-misses=6
[sample=297] cpu=0 bench=prime cycles=2507 instructions=672 cache-misses=5
[sample=298] cpu=0 bench=prime cycles=1325 instructions=672 cache-misses=5
[sample=299] cpu=0 bench=prime cycles=1926 instructions=673 cache-misses=5
[sample=300] cpu=0 bench=prime cycles=2979 instructions=672 cache-misses=6
[sample=301] cpu=0 bench=prime cycles=1998 instructions=672 cache-misses=6
[sample=302] cpu=0 bench=prime cycles=2560 instructions=672 cache-misses=6
[sample=303] cpu=0 bench=prime cycles=2057 instructions=670 cache-misses=6
[sample=304] cpu=0 bench=prime cycles=2296 instructions=674 cache-misses=5
[sample=305] cpu=0 bench=prime cycles=3588 instructions=673 cache-misses=7
[sample=306] cpu=0 bench=prime cycles=2818 instructions=673 cache-misses=5
[sample=307] cpu=0 bench=prime cycles=1343 instructions=672 cache-misses=6
[sample=308] cpu=0 bench=prime cycles=3203 instructions=671 cache-misses=5
[sample=309] cpu=0 bench=prime cycles=2293 instructions=672 cache-misses=6
[sample=310] cpu=0 bench=prime cycles=2079 instructions=671 cache-misses=5
[sample=311] cpu=0 bench=prime cycles=2679 instructions=671 cache-misses=6
[sample=312] cpu=0 bench=prime cycles=2707 instructions=672 cache-misses=6
[sample=313] cpu=0 bench=prime cycles=2771 instructions=672 cache-misses=6
[sample=314] cpu=0 bench=prime cycles=1682 instructions=672 cache-misses=5
[sample=315] cpu=0 bench=prime cycles=1103 instructions=674 cache-misses=7
[sample=316] cpu=0 bench=prime cycles=3661 instructions=672 cache-misses=7
[sample=317] cpu=0 bench=prime cycles=1649 instructions=671 cache-misses=7
[sample=318] cpu=0 bench=prime cycles=1898 instructions=673 cache-misses=5
[sample=319] cpu=0 bench=prime cycles=1668 instructions=672 cache-misses=4
[sample=320] cpu=0 bench=prime cycles=2258 instructions=672 cache-misses=6
[sample=321] cpu=0 bench=prime cycles=1999 instructions=672 cache-misses=7
[sample=322] cpu=0 bench=prime cycles=2139 instructions=670 cache-misses=6
[sample=323] cpu=0 bench=prime cycles=2779 instructions=670 cache-misses=5
[sample=324] cpu=0 bench=prime cycles=2151 instructions=670 cache-misses=7
[sample=325] cpu=0 bench=prime cycles=4621 instructions=673 cache-misses=4
[sample=326] cpu=0 bench=prime cycles=2448 instructions=672 cache-misses=6
[sample=327] cpu=0 bench=prime cycles=2217 instructions=670 cache-misses=6
[sample=328] cpu=0 bench=prime cycles=1808 instructions=673 cache-misses=6
[sample=329] cpu=0 bench=prime cycles=2074 instructions=673 cache-misses=6
[sample=330] cpu=0 bench=prime cycles=2338 instructions=673 cache-misses=5
[sample=331] cpu=0 bench=prime cycles=1716 instructions=673 cache-misses=7
[sample=332] cpu=0 bench=prime cycles=2596 instructions=672 cache-misses=5
[sample=333] cpu=0 bench=prime cycles=2937 instructions=674 cache-misses=6
[sample=334] cpu=0 bench=prime cycles=2335 instructions=672 cache-misses=4
[sample=335] cpu=0 bench=prime cycles=1659 instructions=670 cache-misses=5
[sample=336] cpu=0 bench=prime cycles=2492 instructions=670 cache-misses=6
[sample=337] cpu=0 bench=prime cycles=2619 instructions=672 cache-misses=6
[sample=338] cpu=0 bench=prime cycles=2359 instructions=672 cache-misses=7
[sample=339] cpu=0 bench=prime cycles=2529 instructions=673 cache-misses=6
[sample=340] cpu=0 bench=prime cycles=2494 instructions=672 cache-misses=6
[sample=341] cpu=0 bench=prime cycles=1571 instructions=670 cache-misses=6
